Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1985-01-03 00:00:00,1985-01-04 00:00:00,2
1985-01-15 00:00:00,1985-01-15 00:00:00,1
1985-01-17 00:00:00,1985-01-17 00:00:00,1
1985-01-30 00:00:00,1985-01-30 00:00:00,1
1985-04-15 00:00:00,1985-04-15 00:00:00,1
1985-04-20 00:00:00,1985-04-20 00:00:00,1
1985-06-21 00:00:00,1985-06-24 00:00:00,4
1985-07-21 00:00:00,1985-07-24 00:00:00,4
1985-07-30 00:00:00,1985-07-30 00:00:00,1
1985-08-01 00:00:00,1985-08-01 00:00:00,1
1985-08-28 00:00:00,1985-08-29 00:00:00,2
1985-09-04 00:00:00,1985-09-05 00:00:00,2
1985-09-17 00:00:00,1985-09-17 00:00:00,1
1985-09-22 00:00:00,1985-09-22 00:00:00,1
1985-09-24 00:00:00,1985-09-25 00:00:00,2
1985-09-27 00:00:00,1985-09-28 00:00:00,2
1985-11-12 00:00:00,1985-11-12 00:00:00,1
1985-11-17 00:00:00,1985-11-17 00:00:00,1
1985-12-21 00:00:00,1985-12-21 00:00:00,1
1985-12-24 00:00:00,1985-12-25 00:00:00,2
1986-01-08 00:00:00,1986-01-08 00:00:00,1
1986-01-16 00:00:00,1986-01-16 00:00:00,1
1986-01-21 00:00:00,1986-01-23 00:00:00,3
1986-01-31 00:00:00,1986-02-03 00:00:00,4
1986-02-17 00:00:00,1986-02-18 00:00:00,2
1986-03-01 00:00:00,1986-03-01 00:00:00,1
1986-03-12 00:00:00,1986-03-17 00:00:00,6
1986-04-23 00:00:00,1986-04-23 00:00:00,1
1986-05-16 00:00:00,1986-05-17 00:00:00,2
1986-05-21 00:00:00,1986-05-21 00:00:00,1
1986-05-25 00:00:00,1986-05-25 00:00:00,1
1986-06-17 00:00:00,1986-06-17 00:00:00,1
1986-06-19 00:00:00,1986-06-21 00:00:00,3
1986-06-23 00:00:00,1986-06-28 00:00:00,6
1986-06-30 00:00:00,1986-06-30 00:00:00,1
1986-07-10 00:00:00,1986-07-11 00:00:00,2
1986-07-24 00:00:00,1986-07-24 00:00:00,1
1986-07-31 00:00:00,1986-07-31 00:00:00,1
