Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1985-01-03 00:00:00,1985-01-04 00:00:00,2
1985-01-12 00:00:00,1985-01-17 00:00:00,6
1985-01-20 00:00:00,1985-01-20 00:00:00,1
1985-01-22 00:00:00,1985-01-22 00:00:00,1
1985-01-30 00:00:00,1985-01-30 00:00:00,1
1985-02-01 00:00:00,1985-02-01 00:00:00,1
1985-02-26 00:00:00,1985-02-26 00:00:00,1
1985-03-16 00:00:00,1985-03-16 00:00:00,1
1985-03-19 00:00:00,1985-03-19 00:00:00,1
1985-04-15 00:00:00,1985-04-15 00:00:00,1
1985-04-19 00:00:00,1985-04-20 00:00:00,2
1985-06-13 00:00:00,1985-06-14 00:00:00,2
1985-06-21 00:00:00,1985-06-30 00:00:00,10
1985-07-13 00:00:00,1985-07-17 00:00:00,5
1985-07-20 00:00:00,1985-07-28 00:00:00,9
1985-07-30 00:00:00,1985-08-04 00:00:00,6
1985-08-09 00:00:00,1985-08-12 00:00:00,4
1985-08-15 00:00:00,1985-08-15 00:00:00,1
1985-08-20 00:00:00,1985-08-20 00:00:00,1
1985-08-27 00:00:00,1985-08-29 00:00:00,3
1985-09-04 00:00:00,1985-09-05 00:00:00,2
1985-09-08 00:00:00,1985-09-08 00:00:00,1
1985-09-17 00:00:00,1985-09-17 00:00:00,1
1985-09-22 00:00:00,1985-09-22 00:00:00,1
1985-09-24 00:00:00,1985-09-25 00:00:00,2
1985-09-27 00:00:00,1985-09-30 00:00:00,4
1985-10-02 00:00:00,1985-10-05 00:00:00,4
1985-10-30 00:00:00,1985-10-30 00:00:00,1
1985-11-03 00:00:00,1985-11-03 00:00:00,1
1985-11-12 00:00:00,1985-11-12 00:00:00,1
1985-11-17 00:00:00,1985-11-17 00:00:00,1
1985-11-29 00:00:00,1985-11-29 00:00:00,1
1985-12-08 00:00:00,1985-12-08 00:00:00,1
1985-12-13 00:00:00,1985-12-13 00:00:00,1
1985-12-21 00:00:00,1985-12-21 00:00:00,1
1985-12-24 00:00:00,1985-12-25 00:00:00,2
1986-01-08 00:00:00,1986-01-08 00:00:00,1
1986-01-15 00:00:00,1986-01-16 00:00:00,2
