Start Date,End Date,Duration,Magnitude
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days],[mm]
1985-01-01 00:00:00,1985-01-02 00:00:00,2,2.211312626
1985-01-05 00:00:00,1985-01-11 00:00:00,7,53.096542617
1985-01-18 00:00:00,1985-01-19 00:00:00,2,12.456288555
1985-01-21 00:00:00,1985-01-21 00:00:00,1,0.000418827
1985-01-23 00:00:00,1985-01-29 00:00:00,7,37.73645359099999
1985-01-31 00:00:00,1985-01-31 00:00:00,1,0.140159629
1985-02-02 00:00:00,1985-02-25 00:00:00,24,25.103644930999998
1985-02-27 00:00:00,1985-03-15 00:00:00,17,91.432685551
1985-03-17 00:00:00,1985-03-18 00:00:00,2,0.0054085190000000005
1985-03-20 00:00:00,1985-04-14 00:00:00,26,33.609592721999995
1985-04-16 00:00:00,1985-04-18 00:00:00,3,0.655071215
1985-04-21 00:00:00,1985-06-12 00:00:00,53,119.065654881
1985-06-15 00:00:00,1985-06-20 00:00:00,6,0.329133484
1985-07-01 00:00:00,1985-07-12 00:00:00,12,56.276334711000004
1985-07-18 00:00:00,1985-07-19 00:00:00,2,0.34845154700000003
1985-07-29 00:00:00,1985-07-29 00:00:00,1,0.001168462
1985-08-05 00:00:00,1985-08-08 00:00:00,4,0.522419528
1985-08-13 00:00:00,1985-08-14 00:00:00,2,4.419883541
1985-08-16 00:00:00,1985-08-19 00:00:00,4,6.323654005
1985-08-21 00:00:00,1985-08-26 00:00:00,6,12.863060594
1985-08-30 00:00:00,1985-09-03 00:00:00,5,22.711364016
1985-09-06 00:00:00,1985-09-07 00:00:00,2,0.03985052
1985-09-09 00:00:00,1985-09-16 00:00:00,8,6.6826928820000004
1985-09-18 00:00:00,1985-09-21 00:00:00,4,17.954061957
1985-09-23 00:00:00,1985-09-23 00:00:00,1,0.959350871
1985-09-26 00:00:00,1985-09-26 00:00:00,1,0.243903847
1985-10-01 00:00:00,1985-10-01 00:00:00,1,0.001168462
1985-10-06 00:00:00,1985-10-29 00:00:00,24,83.992224096
1985-10-31 00:00:00,1985-11-02 00:00:00,3,3.9482097670000003
1985-11-04 00:00:00,1985-11-11 00:00:00,8,9.803707747999999
1985-11-13 00:00:00,1985-11-16 00:00:00,4,1.2642289669999998
1985-11-18 00:00:00,1985-11-28 00:00:00,11,24.495302231
1985-11-30 00:00:00,1985-12-07 00:00:00,8,27.490623192999998
1985-12-09 00:00:00,1985-12-12 00:00:00,4,38.256897884000004
1985-12-14 00:00:00,1985-12-20 00:00:00,7,38.026288768
1985-12-22 00:00:00,1985-12-23 00:00:00,2,14.317841141999999
1985-12-26 00:00:00,1986-01-07 00:00:00,13,31.870900413
1986-01-09 00:00:00,1986-01-14 00:00:00,6,22.244141116999998
1986-01-17 00:00:00,1986-01-20 00:00:00,4,1.3920949390000001
1986-01-24 00:00:00,1986-01-26 00:00:00,3,5.380721824
1986-01-29 00:00:00,1986-01-30 00:00:00,2,0.15447101300000002
1986-02-04 00:00:00,1986-02-15 00:00:00,12,69.179417868
1986-02-19 00:00:00,1986-02-27 00:00:00,9,47.475458408
1986-03-02 00:00:00,1986-03-02 00:00:00,1,0.212168278
1986-03-04 00:00:00,1986-03-11 00:00:00,8,6.562044457
1986-03-20 00:00:00,1986-04-01 00:00:00,13,13.254518975000002
1986-04-05 00:00:00,1986-04-05 00:00:00,1,0.009876857
1986-04-09 00:00:00,1986-04-20 00:00:00,12,6.027733425000001
1986-04-22 00:00:00,1986-04-22 00:00:00,1,0.007803825
1986-04-24 00:00:00,1986-04-24 00:00:00,1,0.000983336
1986-04-28 00:00:00,1986-05-12 00:00:00,15,81.34789856899998
1986-05-14 00:00:00,1986-05-15 00:00:00,2,0.005470299
1986-05-19 00:00:00,1986-05-19 00:00:00,1,0.294868398
1986-05-26 00:00:00,1986-05-30 00:00:00,5,3.807284486
1986-06-01 00:00:00,1986-06-06 00:00:00,6,0.08674230599999999
1986-06-08 00:00:00,1986-06-08 00:00:00,1,0.0014188
1986-06-12 00:00:00,1986-06-13 00:00:00,2,0.156150451
1986-06-16 00:00:00,1986-06-16 00:00:00,1,0.038400556
1986-06-22 00:00:00,1986-06-22 00:00:00,1,0.005423312
1986-07-02 00:00:00,1986-07-09 00:00:00,8,12.63046228
1986-07-12 00:00:00,1986-07-12 00:00:00,1,0.196219906
1986-07-14 00:00:00,1986-07-19 00:00:00,6,14.967518719
1986-07-21 00:00:00,1986-07-21 00:00:00,1,0.057306061
1986-07-25 00:00:00,1986-07-30 00:00:00,6,17.242535973
1986-08-03 00:00:00,1986-08-12 00:00:00,10,11.991641143999999
1986-08-14 00:00:00,1986-08-18 00:00:00,5,34.543469212999995
1986-08-21 00:00:00,1986-08-26 00:00:00,6,6.051122448
1986-08-30 00:00:00,1986-09-02 00:00:00,4,2.925994922
1986-09-07 00:00:00,1986-09-07 00:00:00,1,0.029804234
1986-09-12 00:00:00,1986-09-12 00:00:00,1,0.016797944
1986-09-14 00:00:00,1986-09-14 00:00:00,1,0.196019656
1986-09-25 00:00:00,1986-09-27 00:00:00,3,1.7376592950000003
1986-09-29 00:00:00,1986-10-04 00:00:00,6,36.392594406
1986-10-06 00:00:00,1986-10-11 00:00:00,6,13.017356689999998
