Date,Day,P[mm],E[mm],dS,CurrentlyWet_net,CurrentlyDry_net,CurrentlyWet,CurrentlyDry,Wet_net_streak,Dry_net_streak,Dry_streak,Wet_streak
1985-01-01,0,6.52245066957983,6.255681131840004,0.26676953773982603,1,0,1,0,0,0,0,0
1985-01-02,1,3.012096151839895,6.85321766726,-3.841121515420105,0,1,1,0,0,0,0,1
1985-01-03,2,0.0,6.913393367559994,-6.913393367559994,0,1,0,1,0,1,0,0
1985-01-04,3,0.0,5.107874343999995,-5.107874343999995,0,1,0,1,0,2,1,0
1985-01-05,4,0.0137205944999938,6.723337111620002,-6.709616517120009,0,1,1,0,0,3,0,0
1985-01-06,5,3.631862232779856,6.598798861320003,-2.966936628540147,0,1,1,0,0,4,0,1
1985-01-07,6,23.467692711999824,6.918686868260003,16.54900584373982,1,0,1,0,0,0,0,2
1985-01-08,7,23.788378174239792,5.430447554800004,18.357930619439788,1,0,1,0,1,0,0,3
1985-01-09,8,10.498119749299816,5.93457025012,4.563549499179816,1,0,1,0,2,0,0,4
1985-01-10,9,0.0493469526799928,6.469670507000001,-6.420323554320008,0,1,1,0,0,0,0,5
1985-01-11,10,0.0257530992999837,6.732951359599995,-6.707198260300012,0,1,1,0,0,1,0,6
1985-01-12,11,0.0906260480999876,5.700656238600002,-5.610030190500015,0,1,1,0,0,2,0,7
1985-01-13,12,0.0373023445999906,5.507920513180003,-5.470618168580012,0,1,1,0,0,3,0,8
1985-01-14,13,0.0538358636999911,6.074193994680001,-6.02035813098001,0,1,1,0,0,4,0,9
1985-01-15,14,0.0,5.694719321120005,-5.694719321120005,0,1,0,1,0,5,0,0
1985-01-16,15,0.0031415698999994,5.98704649062,-5.983904920720001,0,1,1,0,0,6,0,0
1985-01-17,16,0.0,6.668774036780002,-6.668774036780002,0,1,0,1,0,7,0,0
1985-01-18,17,2.545420343099931,5.564519138199997,-3.019098795100066,0,1,1,0,0,8,0,0
1985-01-19,18,19.81934773661983,4.481644379920003,15.337703356699826,1,0,1,0,0,0,0,1
1985-01-20,19,0.1075707902999761,4.07515714534,-3.9675863550400243,0,1,1,0,0,0,0,2
1985-01-21,20,0.1539150504199817,5.467218406239995,-5.313303355820014,0,1,1,0,0,1,0,3
1985-01-22,21,0.0952195198999755,5.627947777339997,-5.532728257440021,0,1,1,0,0,2,0,4
1985-01-23,22,9.757268294179832,4.526972654200002,5.23029563997983,1,0,1,0,0,0,0,5
1985-01-24,23,23.662928034899814,4.752604391920003,18.91032364297981,1,0,1,0,1,0,0,6
1985-01-25,24,10.19217783693981,2.6946054584200008,7.49757237851981,1,0,1,0,2,0,0,7
1985-01-26,25,0.4879952002999563,4.091036343879997,-3.603041143580041,0,1,1,0,0,0,0,8
1985-01-27,26,0.3038429606999392,5.055237526239998,-4.751394565540059,0,1,1,0,0,1,0,9
1985-01-28,27,0.0014567043999986,6.317851652760003,-6.316394948360004,0,1,1,0,0,2,0,10
1985-01-29,28,0.036553583679986,4.32631761342,-4.289764029740014,0,1,1,0,0,3,0,11
