Date,Day,P[mm],E[mm],dS,CurrentlyWet_net,CurrentlyDry_net,CurrentlyWet,CurrentlyDry,Wet_net_streak,Dry_net_streak,Dry_streak,Wet_streak
1985-01-01,0,7.835630509,6.018402787,1.8172277219999993,1,0,1,0,0,0,0,0
1985-01-02,1,2.211312626,6.709386696,-4.49807407,0,1,1,0,0,0,0,1
1985-01-03,2,0.0,6.625446562,-6.625446562,0,1,0,1,0,1,0,0
1985-01-04,3,0.0,5.175933167,-5.175933167,0,1,0,1,0,2,1,0
1985-01-05,4,0.024878245,6.568890732,-6.544012487,0,1,1,0,0,3,0,0
1985-01-06,5,2.812370831,6.772727718,-3.9603568869999997,0,1,1,0,0,4,0,1
1985-01-07,6,16.13184634,6.878303388,9.253542952,1,0,1,0,0,0,0,2
1985-01-08,7,26.36965701,5.312735147,21.056921863,1,0,1,0,1,0,0,3
1985-01-09,8,7.680103929,5.555099494,2.125004435,1,0,1,0,2,0,0,4
1985-01-10,9,0.076426345,6.416250978,-6.339824633,0,1,1,0,0,0,0,5
1985-01-11,10,0.001259917,5.996806301,-5.995546384000001,0,1,1,0,0,1,0,6
1985-01-12,11,0.0,5.675340001,-5.675340001,0,1,0,1,0,2,0,0
1985-01-13,12,0.0,5.351737018,-5.351737018,0,1,0,1,0,3,1,0
1985-01-14,13,0.0,6.029483829,-6.029483829,0,1,0,1,0,4,2,0
1985-01-15,14,0.0,5.795325802,-5.795325802,0,1,0,1,0,5,3,0
1985-01-16,15,0.0,6.041621874,-6.041621874,0,1,0,1,0,6,4,0
1985-01-17,16,0.0,6.565525455,-6.565525455,0,1,0,1,0,7,5,0
1985-01-18,17,0.674244555,5.407655251,-4.733410696,0,1,1,0,0,8,0,0
1985-01-19,18,11.782044,4.405401108,7.3766428920000005,1,0,1,0,0,0,0,1
1985-01-20,19,0.0,4.023577008,-4.023577008,0,1,0,1,0,0,0,0
1985-01-21,20,0.000418827,5.130732427,-5.1303136,0,1,1,0,0,1,0,0
1985-01-22,21,0.0,5.462528205,-5.462528205,0,1,0,1,0,2,0,0
1985-01-23,22,11.74209693,4.240612247,7.501484683000001,1,0,1,0,0,0,0,0
1985-01-24,23,20.59047187,4.743624237,15.846847633,1,0,1,0,1,0,0,1
1985-01-25,24,5.222102023,2.55535382,2.6667482029999996,1,0,1,0,2,0,0,2
1985-01-26,25,0.086330103,4.130525348,-4.044195245,0,1,1,0,0,0,0,3
1985-01-27,26,0.085129506,5.220518186,-5.135388679999999,0,1,1,0,0,1,0,4
1985-01-28,27,0.000181199,6.228297058,-6.228115859,0,1,1,0,0,2,0,5
1985-01-29,28,0.01014196,4.454174879,-4.444032919,0,1,1,0,0,3,0,6
1985-01-30,29,0.0,5.466951161,-5.466951161,0,1,0,1,0,4,0,0
1985-01-31,30,0.140159629,6.184295192,-6.044135563,0,1,1,0,0,5,0,0
1985-02-01,31,0.0,3.049335191,-3.049335191,0,1,0,1,0,6,0,0
1985-02-02,32,1.680720913,4.272544749,-2.5918238359999997,0,1,1,0,0,7,0,0
