ID,x,y,area_km2,proportion,sum_area_km2
237,152.1,-27.4,36.651,0.006684417,5483.051
258,152.2,-27.4,13.139,0.002396294,
321,152.5,-27.4,14.445,0.002634482,
342,152.6,-27.4,41.481,0.007565314,
363,152.7,-27.4,1.047,0.000190952,
196,151.9,-27.3,0.865,0.000157759,
217,152.0,-27.3,29.951,0.00546247,
238,152.1,-27.3,98.999,0.018055459,
259,152.2,-27.3,93.78,0.017103616,
301,152.4,-27.3,85.68,0.015626337,
322,152.5,-27.3,109.335,0.01994054,
343,152.6,-27.3,109.689,0.020005103,
364,152.7,-27.3,66.203,0.012074117,
280,152.3,-27.3,66.675,0.012160201,
385,152.8,-27.3,1.07,0.000195147,
197,151.9,-27.2,84.079,0.015334346,
218,152.0,-27.2,107.767,0.019654568,
239,152.1,-27.2,109.786,0.020022794,
260,152.2,-27.2,109.786,0.020022794,
302,152.4,-27.2,109.786,0.020022794,
323,152.5,-27.2,109.786,0.020022794,
344,152.6,-27.2,87.4,0.01594003,
365,152.7,-27.2,0.962,0.00017545,
176,151.8,-27.2,4.745,0.000865394,
281,152.3,-27.2,109.786,0.020022794,
156,151.7,-27.1,2.811,0.000512671,
198,151.9,-27.1,109.882,0.020040302,
219,152.0,-27.1,109.882,0.020040302,
240,152.1,-27.1,109.882,0.020040302,
261,152.2,-27.1,109.882,0.020040302,
303,152.4,-27.1,109.882,0.020040302,
324,152.5,-27.1,84.816,0.01546876,
345,152.6,-27.1,0.693,0.000126389,
177,151.8,-27.1,79.759,0.014546463,
282,152.3,-27.1,109.882,0.020040302,
157,151.7,-27,44.48,0.008112272,
199,151.9,-27,109.978,0.020057811,
220,152.0,-27,109.978,0.020057811,
241,152.1,-27,109.978,0.020057811,
262,152.2,-27,109.978,0.020057811,
304,152.4,-27,109.978,0.020057811,
325,152.5,-27,54.65,0.009967079,
178,151.8,-27,109.978,0.020057811,
283,152.3,-27,109.978,0.020057811,
137,151.6,-26.9,0.252,4.59598E-05,
158,151.7,-26.9,14.898,0.0027171,
200,151.9,-26.9,92.543,0.016878012,
221,152.0,-26.9,110.073,0.020075137,
242,152.1,-26.9,110.073,0.020075137,
263,152.2,-26.9,110.073,0.020075137,
305,152.4,-26.9,110.037,0.020068571,
326,152.5,-26.9,23.816,0.004343567,
179,151.8,-26.9,21.501,0.003921357,
284,152.3,-26.9,110.073,0.020075137,
201,151.9,-26.8,21.485,0.003918439,
222,152.0,-26.8,109.882,0.020040302,
243,152.1,-26.8,110.169,0.020092645,
264,152.2,-26.8,110.169,0.020092645,
306,152.4,-26.8,91.05,0.016605718,
327,152.5,-26.8,0.625,0.000113988,
285,152.3,-26.8,110.169,0.020092645,
223,152.0,-26.7,33.32,0.006076909,
244,152.1,-26.7,104.499,0.01905855,
265,152.2,-26.7,110.264,0.020109972,
307,152.4,-26.7,108.446,0.019778404,
328,152.5,-26.7,15.673,0.002858445,
286,152.3,-26.7,110.264,0.020109972,
245,152.1,-26.6,20.486,0.003736241,
308,152.4,-26.6,32.582,0.005942312,
266,152.2,-26.6,110.358,0.020127115,
287,152.3,-26.6,110.358,0.020127115,
246,152.1,-26.5,15.005,0.002736615,
267,152.2,-26.5,63.758,0.011628198,
309,152.4,-26.5,3.068,0.000559542,
288,152.3,-26.5,88.842,0.016203023,
