ID	x	y	area_km2
237	152.1	-27.4	36.651
258	152.2	-27.4	13.139
321	152.5	-27.4	14.445
342	152.6	-27.4	41.481
363	152.7	-27.4	1.047
196	151.9	-27.3	0.865
217	152	-27.3	29.951
238	152.1	-27.3	98.999
259	152.2	-27.3	93.78
301	152.4	-27.3	85.68
322	152.5	-27.3	109.335
343	152.6	-27.3	109.689
364	152.7	-27.3	66.203
280	152.3	-27.3	66.675
385	152.8	-27.3	1.07
197	151.9	-27.2	84.079
218	152	-27.2	107.767
239	152.1	-27.2	109.786
260	152.2	-27.2	109.786
302	152.4	-27.2	109.786
323	152.5	-27.2	109.786
344	152.6	-27.2	87.4
365	152.7	-27.2	0.962
176	151.8	-27.2	4.745
281	152.3	-27.2	109.786
156	151.7	-27.1	2.811
198	151.9	-27.1	109.882
219	152	-27.1	109.882
240	152.1	-27.1	109.882
261	152.2	-27.1	109.882
303	152.4	-27.1	109.882
324	152.5	-27.1	84.816
345	152.6	-27.1	0.693
177	151.8	-27.1	79.759
282	152.3	-27.1	109.882
157	151.7	-27	44.48
199	151.9	-27	109.978
220	152	-27	109.978
241	152.1	-27	109.978
262	152.2	-27	109.978
304	152.4	-27	109.978
325	152.5	-27	54.65
178	151.8	-27	109.978
283	152.3	-27	109.978
137	151.6	-26.9	0.252
158	151.7	-26.9	14.898
200	151.9	-26.9	92.543
221	152	-26.9	110.073
242	152.1	-26.9	110.073
263	152.2	-26.9	110.073
305	152.4	-26.9	110.037
326	152.5	-26.9	23.816
179	151.8	-26.9	21.501
284	152.3	-26.9	110.073
201	151.9	-26.8	21.485
222	152	-26.8	109.882
243	152.1	-26.8	110.169
264	152.2	-26.8	110.169
306	152.4	-26.8	91.05
327	152.5	-26.8	0.625
285	152.3	-26.8	110.169
223	152	-26.7	33.32
244	152.1	-26.7	104.499
265	152.2	-26.7	110.264
307	152.4	-26.7	108.446
328	152.5	-26.7	15.673
286	152.3	-26.7	110.264
245	152.1	-26.6	20.486
308	152.4	-26.6	32.582
266	152.2	-26.6	110.358
287	152.3	-26.6	110.358
246	152.1	-26.5	15.005
267	152.2	-26.5	63.758
309	152.4	-26.5	3.068
288	152.3	-26.5	88.842
