ID,x,y,area_km2,proportion
30,151.65,-26.95,3.13809709,0.000447326
31,151.65,-26.9,3.118712883,0.000444563
50,151.7,-27.0,8.593106708,0.001224922
51,151.7,-26.95,21.32408963,0.003039686
52,151.7,-26.9,0.36716525,5.23E-05
69,151.75,-27.1,2.089874239,0.000297905
70,151.75,-27.05,19.30884515,0.002752419
71,151.75,-27.0,26.13171504,0.003724998
72,151.75,-26.95,15.96161598,0.002275281
89,151.8,-27.15,8.565523659,0.00122099
90,151.8,-27.1,22.19726417,0.003164154
91,151.8,-27.05,27.48250179,0.003917549
92,151.8,-27.0,27.49447723,0.003919256
93,151.8,-26.95,22.5020685,0.003207603
94,151.8,-26.9,0.070975172,1.01E-05
109,151.85,-27.2,2.995586459,0.000427012
110,151.85,-27.15,23.91982718,0.0034097
111,151.85,-27.1,27.47050552,0.003915839
112,151.85,-27.05,27.48250179,0.003917549
113,151.85,-27.0,27.49447723,0.003919256
114,151.85,-26.95,27.50643184,0.00392096
115,151.85,-26.9,14.48317011,0.002064533
129,151.9,-27.25,7.788961077,0.001110293
130,151.9,-27.2,26.52933214,0.003781677
131,151.9,-27.15,27.45848842,0.003914126
132,151.9,-27.1,27.47050552,0.003915839
133,151.9,-27.05,27.48250179,0.003917549
134,151.9,-27.0,27.49447723,0.003919256
135,151.9,-26.95,27.50643184,0.00392096
136,151.9,-26.9,26.3784919,0.003760176
137,151.9,-26.85,13.70401575,0.001953467
138,151.9,-26.8,0.273838647,3.90E-05
150,151.95,-27.25,12.73276581,0.001815018
151,151.95,-27.2,27.44645052,0.00391241
152,151.95,-27.15,27.45848842,0.003914126
153,151.95,-27.1,27.47050552,0.003915839
154,151.95,-27.05,27.48250179,0.003917549
155,151.95,-27.0,27.49447723,0.003919256
156,151.95,-26.95,27.50643184,0.00392096
157,151.95,-26.9,27.51836561,0.003922661
158,151.95,-26.85,27.53027852,0.003924359
159,151.95,-26.8,22.3612948,0.003187536
160,151.95,-26.75,7.955481648,0.00113403
170,152.0,-27.3,2.960033344,0.000421944
171,152.0,-27.25,26.97889528,0.003845761
172,152.0,-27.2,27.44645052,0.00391241
173,152.0,-27.15,27.45848842,0.003914126
174,152.0,-27.1,27.47050552,0.003915839
175,152.0,-27.05,27.48250179,0.003917549
176,152.0,-27.0,27.49447723,0.003919256
177,152.0,-26.95,27.50643184,0.00392096
178,152.0,-26.9,27.51836561,0.003922661
179,152.0,-26.85,27.53027852,0.003924359
180,152.0,-26.8,27.54217058,0.003926055
181,152.0,-26.75,24.11942357,0.003438152
182,152.0,-26.7,2.932951373,0.000418084
190,152.05,-27.35,1.441200031,0.000205439
191,152.05,-27.3,16.20232516,0.002309593
192,152.05,-27.25,27.4343918,0.003910691
193,152.05,-27.2,27.44645052,0.00391241
194,152.05,-27.15,27.45848842,0.003914126
195,152.05,-27.1,27.47050552,0.003915839
196,152.05,-27.05,27.48250179,0.003917549
197,152.05,-27.0,27.49447723,0.003919256
198,152.05,-26.95,27.50643184,0.00392096
199,152.05,-26.9,27.51836561,0.003922661
200,152.05,-26.85,27.53027852,0.003924359
201,152.05,-26.8,27.54217058,0.003926055
202,152.05,-26.75,27.55404177,0.003927747
203,152.05,-26.7,25.80845114,0.003678918
204,152.05,-26.65,2.952942016,0.000420933
210,152.1,-27.4,7.310989116,0.00104216
211,152.1,-27.35,26.71737906,0.003808483
212,152.1,-27.3,26.14016619,0.003726203
213,152.1,-27.25,27.4343918,0.003910691
214,152.1,-27.2,27.44645052,0.00391241
215,152.1,-27.15,27.45848842,0.003914126
216,152.1,-27.1,27.47050552,0.003915839
217,152.1,-27.05,27.48250179,0.003917549
218,152.1,-27.0,27.49447723,0.003919256
219,152.1,-26.95,27.50643184,0.00392096
220,152.1,-26.9,27.51836561,0.003922661
221,152.1,-26.85,27.53027852,0.003924359
222,152.1,-26.8,27.54217058,0.003926055
223,152.1,-26.75,27.55404177,0.003927747
224,152.1,-26.7,27.56589208,0.003929436
225,152.1,-26.65,13.21684588,0.001884022
231,152.15,-27.4,14.18371265,0.002021846
232,152.15,-27.35,27.41021199,0.003907244
233,152.15,-27.3,27.42231229,0.003908969
234,152.15,-27.25,27.4343918,0.003910691
235,152.15,-27.2,27.44645052,0.00391241
236,152.15,-27.15,27.45848842,0.003914126
237,152.15,-27.1,27.47050552,0.003915839
238,152.15,-27.05,27.48250179,0.003917549
239,152.15,-27.0,27.49447723,0.003919256
240,152.15,-26.95,27.50643184,0.00392096
241,152.15,-26.9,27.51836561,0.003922661
242,152.15,-26.85,27.53027852,0.003924359
243,152.15,-26.8,27.54217058,0.003926055
244,152.15,-26.75,27.55404177,0.003927747
245,152.15,-26.7,27.56589208,0.003929436
246,152.15,-26.65,26.93614647,0.003839668
247,152.15,-26.6,22.21374207,0.003166503
248,152.15,-26.55,24.24635425,0.003456246
249,152.15,-26.5,22.23476642,0.0031695
250,152.15,-26.45,0.018484865,2.63E-06
252,152.2,-27.4,0.002250448,3.21E-07
253,152.2,-27.35,6.802021445,0.000969608
254,152.2,-27.3,27.36228743,0.003900413
255,152.2,-27.25,27.4343918,0.003910691
256,152.2,-27.2,27.44645052,0.00391241
257,152.2,-27.15,27.45848842,0.003914126
258,152.2,-27.1,27.47050552,0.003915839
259,152.2,-27.05,27.48250179,0.003917549
260,152.2,-27.0,27.49447723,0.003919256
261,152.2,-26.95,27.50643184,0.00392096
262,152.2,-26.9,27.51836561,0.003922661
263,152.2,-26.85,27.53027852,0.003924359
264,152.2,-26.8,27.54217058,0.003926055
265,152.2,-26.75,27.55404177,0.003927747
266,152.2,-26.7,27.56589208,0.003929436
267,152.2,-26.65,27.57772152,0.003931122
268,152.2,-26.6,27.58953007,0.003932806
269,152.2,-26.55,27.60131772,0.003934486
270,152.2,-26.5,14.19192418,0.002023017
275,152.25,-27.3,22.7411975,0.00324169
276,152.25,-27.25,27.4343918,0.003910691
277,152.25,-27.2,27.44645052,0.00391241
278,152.25,-27.15,27.45848842,0.003914126
279,152.25,-27.1,27.47050552,0.003915839
280,152.25,-27.05,27.48250179,0.003917549
281,152.25,-27.0,27.49447723,0.003919256
282,152.25,-26.95,27.50643184,0.00392096
283,152.25,-26.9,27.51836561,0.003922661
284,152.25,-26.85,27.53027852,0.003924359
285,152.25,-26.8,27.54217058,0.003926055
286,152.25,-26.75,27.55404177,0.003927747
287,152.25,-26.7,27.56589208,0.003929436
288,152.25,-26.65,27.57772152,0.003931122
289,152.25,-26.6,27.58953007,0.003932806
290,152.25,-26.55,27.60131772,0.003934486
291,152.25,-26.5,22.00973498,0.003137422
292,152.25,-26.45,1.105105852,0.00015753
296,152.3,-27.3,15.85570739,0.002260184
297,152.3,-27.25,27.4343918,0.003910691
298,152.3,-27.2,27.44645052,0.00391241
299,152.3,-27.15,27.45848842,0.003914126
300,152.3,-27.1,27.47050552,0.003915839
301,152.3,-27.05,27.48250179,0.003917549
302,152.3,-27.0,27.49447723,0.003919256
303,152.3,-26.95,27.50643184,0.00392096
304,152.3,-26.9,27.51836561,0.003922661
305,152.3,-26.85,27.53027852,0.003924359
306,152.3,-26.8,27.54217058,0.003926055
307,152.3,-26.75,27.55404177,0.003927747
308,152.3,-26.7,27.56589208,0.003929436
309,152.3,-26.65,27.57772152,0.003931122
